area_id,kota_pelanggan,leadtime
1,BATAM,
2,CIREBON,3
3,DELI SERDANG,
4,JAMBI,
5,KAB ACEH BESAR,
6,KAB BADUNG,
7,KAB BANDUNG,3
8,KAB BANDUNG BARAT,3
9,KAB BANJAR,
10,KAB BANTUL,3
11,KAB BEKASI,2
12,KAB BOGOR,3
13,KAB BOGOR SELATAN,3
14,KAB BOYOLALI,3
15,KAB CIANJUR,3
16,KAB CILACAP,
17,KAB CIREBON,3
18,KAB DELI SERDANG,
19,KAB DEMAK,3
20,KAB GARUT,2
21,KAB GIANYAR,
22,KAB GRESIK,
23,KAB INDRAMAYU,3
24,KAB JEMBER,4
25,KAB JOMBANG,
26,KAB KARANGANYAR,3
27,KAB KARAWANG,2
28,KAB KEDIRI,4
29,KAB KENDAL,3
30,KAB KLATEN,3
31,KAB KUBU RAYA,
32,KAB KULON PROGO,3
33,KAB KULONPROGO,3
34,KAB KUNINGAN,3
35,KAB LAMPUNG UTARA,
36,KAB LANGKAT,
37,KAB LEBAK,4
38,"KAB LEBAK	",4
39,KAB LUMAJANG,5
40,KAB MAJALENGKA,3
41,KAB MALANG,4
42,KAB MINAHASA UTARA,
43,KAB MUARO JAMBI,
44,KAB PANDEGLANG,4
45,KAB PASURUAN,
46,KAB PURWAKARTA,3
47,KAB PURWEREJO,3
48,KAB PURWOREJO,3
49,KAB REMBANG,
50,KAB SEMARANG,3
51,KAB SERANG,3
52,KAB SIDOARJO,3
53,KAB SLEMAN,3
54,KAB SUKABUMI,3
55,KAB SUKOHARJO,3
56,KAB SUMEDANG,3
57,KAB TANAH LAUT,
58,KAB TANGERANG,2
59,KAB TASIKMALAYA,4
60,KABUPATEN LUMAJANG,5
61,KEDIRI,4
62,KOTA AMBON,
63,KOTA BABELAN,2
64,KOTA BANDAR LAMPUNG,
65,KOTA BANDUNG,3
66,KOTA BATAM,
67,KOTA BEKASI,2
68,KOTA BENGKULU,
69,KOTA BOGOR,3
70,KOTA CILEGON,3
71,"KOTA CILEGON	",3
72,KOTA CIMAHI,3
73,KOTA CIREBON,3
74,KOTA DENPASAR,
75,KOTA DEPOK,2
76,KOTA GARUT,4
77,KOTA JAKARTA BARAT,1
78,KOTA JAKARTA PUSAT,1
79,KOTA JAKARTA SELATAN,1
80,KOTA JAKARTA TIMUR,1
81,KOTA JAKARTA UTARA,1
82,KOTA JAMBI,
83,KOTA KEDIRI,4
84,KOTA KENDARI,
85,KOTA MAKASSAR,
86,KOTA MALANG,4
87,KOTA MANADO,
88,KOTA MATARAM,
89,KOTA MEDAN,
90,KOTA PADANG,
91,KOTA PALEMBANG,
92,KOTA PEKANBARU,
93,KOTA PONTIANAK,
94,KOTA SAMARINDA,
95,KOTA SEMARANG,3
96,KOTA SERANG,3
97,KOTA SUKABUMI,3
98,KOTA SURABAYA,3
99,KOTA SURAKARTA,3
100,KOTA TANGERANG,2
101,KOTA TANGERANG SELATAN,2
102,KOTA TASIKMALAYA,4
103,KOTA YOGYAKARTA,3
104,LUMAJANG,5
105,MALANG,4
106,MEDAN,
107,PALEMBANG,
108,SEMARANG,3
109,SIDOARJO,3
110,SLEMAN,3
111,SURABAYA,3
112,TANGERANG,2
